Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10974691,Kunduchi,Adequate,Chemchem,Yes,53.75,,12.0,,0.35003801245512295,Africa
10974645,Kunduchi,Adequate,Chemchem,Yes,77.45,101.2,13.3,14.7,1.4248861054841646,Africa
10974892,Kunduchi,Adequate,Chemchem,Yes,36.25,,10.0,,-0.4436261912583044,Africa
10975173,Kunduchi,Adequate,Chemchem,Yes,33.37,,10.2,,-0.5742406430694286,Africa
10975629,Kunduchi,Adequate,Chemchem,Yes,24.41,91.5,9.4,13.6,-0.9805967153707031,Africa
10975310,Kunduchi,Adequate,Chemchem,Yes,21.7,,9.0,,-1.103501286345754,Africa
10974798,Kunduchi,Adequate,Chemchem,Yes,78.3,,13.4,,1.4634355096645308,Africa
10975186,Kunduchi,Adequate,Chemchem,Yes,75.67,115.1,13.0,14.5,1.344159117906456,Africa
10975465,Kunduchi,Adequate,Chemchem,Yes,35.7,86.8,10.2,13.2,-0.46856992337501197,Africa
10974703,Kunduchi,Adequate,Chemchem,Yes,26.41,64.1,9.2,11.8,-0.8898922349463115,Africa
10974820,Kunduchi,Adequate,Chemchem,Yes,44.4,126.0,11.2,14.3,-0.07400543352890829,Africa
10974934,Kunduchi,Adequate,Chemchem,Yes,72.1,157.6,13.0,15.7,1.1822516203489164,Africa
10975580,Kunduchi,Adequate,Chemchem,Yes,66.25,,12.5,,0.916941015107571,Africa
10974677,Kunduchi,Adequate,Chemchem,Yes,62.05,143.0,12.2,17.0,0.7264616062163484,Africa
10974744,Kunduchi,Adequate,Chemchem,Yes,66.51,134.0,12.5,15.0,0.9287325975627422,Africa
10975131,Kunduchi,Adequate,Chemchem,Yes,66.79,133.9,12.5,14.5,0.941431224822157,Africa
10975480,Kunduchi,Adequate,Chemchem,Yes,57.41,133.2,12.4,15.5,0.5160272116317596,Africa
10975358,Kunduchi,Adequate,Chemchem,Yes,77.15,150.3,13.0,16.0,1.411280433420506,Africa
10975454,Kunduchi,Adequate,Chemchem,Yes,59.04,122.7,12.0,15.0,0.589951363177639,Africa
10975315,Kunduchi,Adequate,Chemchem,Yes,67.18,108.0,12.0,14.5,0.9591185985049134,Africa
10975068,Kunduchi,Adequate,Chemchem,Yes,55.81,106.3,12.0,14.2,0.4434636272922465,Africa
10975551,Kunduchi,Adequate,Chemchem,Yes,44.53,,11.2,,-0.06810964230132271,Africa
10974683,Kunduchi,Adequate,Chemchem,Yes,39.17,109.9,11.1,14.0,-0.3111976498386924,Africa
10975560,Kunduchi,Adequate,Chemchem,Yes,53.62,77.3,12.0,13.0,0.34414222122753735,Africa
10975371,Kunduchi,Adequate,Chemchem,Yes,32.72,84.9,10.2,14.3,-0.6037195992073557,Africa
10974987,Kunduchi,Adequate,Chemchem,Yes,33.42,115.4,10.6,17.0,-0.5719730310588186,Africa
10975546,Kunduchi,Adequate,Chemchem,Yes,34.61,71.5,10.3,12.8,-0.5180038652063056,Africa
10975316,Kunduchi,Adequate,Chemchem,Yes,50.41,,11.3,,0.19856153014638867,Africa
10974877,Kunduchi,Adequate,Chemchem,Yes,53.26,,11.3,,0.3278154147511469,Africa
10975490,Kunduchi,Adequate,Chemchem,Yes,62.23,134.1,12.2,15.0,0.7346250094545436,Africa
10975205,Kunduchi,Adequate,Chemchem,Yes,55.65,132.2,10.0,14.8,0.43620726885829497,Africa
10974897,Kunduchi,Adequate,Chemchem,Yes,91.19,120.5,14.4,16.7,2.0480258859997353,Africa
10975413,Kunduchi,Adequate,Chemchem,Yes,50.06,94.0,11.4,13.5,0.18268824607212036,Africa
10975432,Kunduchi,Adequate,Chemchem,Yes,30.13,69.1,9.9,12.6,-0.721181901356943,Africa
10975369,Kunduchi,Adequate,Chemchem,Yes,20.29,88.8,8.9,13.5,-1.1674479450449502,Africa
10975148,Kunduchi,Adequate,Chemchem,Yes,22.79,,8.7,,-1.0540673445144606,Africa
10974717,Kunduchi,Adequate,Chemchem,Yes,73.42,122.7,13.2,15.2,1.2421165774290153,Africa
10974806,Kunduchi,Adequate,Chemchem,Yes,65.9,100.1,12.7,15.3,0.9010677310333027,Africa
10974875,Kunduchi,Adequate,Chemchem,Yes,59.36,109.9,12.3,14.5,0.6044640800455416,Africa
10974991,Kunduchi,Adequate,Chemchem,Yes,63.47,110.1,12.3,15.5,0.7908617873176665,Africa
10974732,Kunduchi,Adequate,Chemchem,Yes,54.37,126.3,12.0,15.0,0.37815640138668427,Africa
10975155,Kunduchi,Adequate,Chemchem,Yes,51.33,171.0,11.5,16.6,0.2402855911416089,Africa
10975613,Kunduchi,Adequate,Chemchem,Yes,56.02,,11.7,,0.45298759773680763,Africa
10974929,Kunduchi,Adequate,Chemchem,Yes,42.73,151.9,11.2,16.0,-0.14974367468327543,Africa
